BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Exp Realty","House for sale",1100000,4,3276,"421 W 154th St","New York, NY 10032","421 W 154th St, New York, NY 10032","United States","New York","New York County","New York","West 154th Street","421 W 154th St, New York, NY 10032, USA",40.8307115,-73.9424229
"Brokered by Keller Williams Realty Liberty","House for sale",650000,2,1522,"237-14 93rd Rd","Bellerose, NY 11426","237-14 93rd Rd, Bellerose, NY 11426","United States","New York","Queens County",Queens,"93rd Road","237-14 93rd Rd, Jamaica, NY 11426, USA",40.723245,-73.7293286
"Brokered by Rise Realty","House for sale",799000,2,1975,"604 Lamont Ave","Staten Island, NY 10312","604 Lamont Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Lamont Avenue","604 Lamont Ave, Staten Island, NY 10312, USA",40.5387812,-74.193378
"Brokered by DiTommaso Real Estate","House for sale",1195000,4,2704,"52 Indale Ave","Staten Island, NY 10309","52 Indale Ave, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Indale Avenue","52 Indale Ave, Staten Island, NY 10309, USA",40.5143019,-74.2044734
"Brokered by Serhant","Condo for sale",17500000,6,5499,"37 Warren St Unit Phcd","New York, NY 10007","37 Warren St Unit Phcd, New York, NY 10007","United States","New York","New York County","New York","Warren Street","37 Warren St, New York, NY 10007, USA",40.7143354,-74.0087443
"Brokered by Midas Realty","Condo for sale",759000,2,1200,"206-04 Emily Rd Unit 37M","Bayside, NY 11360","206-04 Emily Rd Unit 37M, Bayside, NY 11360","New York","Queens County",Queens,Bayside,206-4,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051
"Brokered by ONLY NINE REALTY LLC","House for sale",275000,1,2170,"579 E 29th St","Brooklyn, NY 11210","579 E 29th St, Brooklyn, NY 11210","United States","New York","Kings County",Brooklyn,"East 29th Street","579 E 29th St, Brooklyn, NY 11210, USA",40.6366859,-73.9488175
"Brokered by TREBACH REALTY INC","House for sale",1249000,2.5,2179,"3021 Arlington Ave","Bronx, NY 10463","3021 Arlington Ave, Bronx, NY 10463","United States","New York","Bronx County","The Bronx","Arlington Avenue","3021 Arlington Ave, Bronx, NY 10463, USA",40.8822913,-73.9137305
"Brokered by Utopia Real Estate","Co-op for sale",69900,1,700,"61 Edgewater Park Unit B","Bronx, NY 10465","61 Edgewater Park Unit B, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Edgewater Park","61 Edgewater Park, Bronx, NY 10465, USA",40.8224987,-73.8111568
"Brokered by Island Advantage Rlty, Llc",Foreclosure,1749900,4,3740,"517 W 142nd St","New York, NY 10031","517 W 142nd St, New York, NY 10031","United States","New York","New York County","New York","West 142nd Street","517 W 142nd St, New York, NY 10031, USA",40.824015,-73.9502067
"Brokered by Douglas Elliman - Roslyn","Condo for sale",649000,2,1182,"163-04 71st Ave Unit 122","Fresh Meadows, NY 11365","163-04 71st Ave Unit 122, Fresh Meadows, NY 11365","New York","Queens County",Queens,"Fresh Meadows",163-4,"163-4 71st Ave #122, Fresh Meadows, NY 11365, USA",40.7302938,-73.8059248
"Brokered by WW Realty Group Inc","House for sale",499000,2,1760,"2774 Marion Ave","Bronx, NY 10458","2774 Marion Ave, Bronx, NY 10458","United States","New York","Bronx County","The Bronx","Marion Avenue","2774 Marion Ave, Bronx, NY 10458, USA",40.8663864,-73.8878945
"Brokered by Julia B. Fee Sotheby's International Realty","Multi-family home for sale",1050000,4,3132,"2818 Miles Ave","Bronx, NY 10465","2818 Miles Ave, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Miles Avenue","2818 Miles Ave, Bronx, NY 10465, USA",40.8176549,-73.8197053
"Brokered by COMPASS","Townhouse for sale",5000000,9,6425,"137 W 80th St","Manhattan, NY 10024","137 W 80th St, Manhattan, NY 10024","United States","New York","New York County","New York","West 80th Street","137 W 80th St, New York, NY 10024, USA",40.7832598,-73.976047
"Brokered by HOT HOMES REALTY LLC.",Pending,90000,1,660,"16 Mapleton Ave","Staten Island, NY 10306","16 Mapleton Ave, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Mapleton Avenue","16 Mapleton Ave, Staten Island, NY 10306, USA",40.574451,-74.0929448
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",56000000,10,24000,"9 W 54th St","New York, NY 10019","9 W 54th St, New York, NY 10019","United States","New York","New York County","New York","West 54th Street","9 W 54th St, New York, NY 10019, USA",40.7616,-73.9761913
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",500000,3,1794,"251 W 89th St Apt 6E","New York, NY 10024","251 W 89th St Apt 6E, New York, NY 10024","New York","New York County","New York",Manhattan,251,"251 W 89th St #6e, New York, NY 10024, USA",40.7905714,-73.9753392
"Brokered by Real Estate Property Group LLC","House for sale",350000,1,490,"750 Patterson Ave","Staten Island, NY 10306","750 Patterson Ave, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Patterson Avenue","750 Patterson Ave, Staten Island, NY 10306, USA",40.5731273,-74.089182
"Brokered by Corcoran Park Slope","House for sale",1099000,2,2189,"204-34 9th Ave","Queens, NY 11697","204-34 9th Ave, Queens, NY 11697","United States","New York","Queens County",Queens,"9th Avenue","204-34 9th Ave, Breezy Point, NY 11697, USA",40.5595612,-73.9147409
"Brokered by RE MAX Boutique Realty","Co-op for sale",90000,1,450,"1383 Plimpton Ave Apt 1C","Bronx, NY 10452","1383 Plimpton Ave Apt 1C, Bronx, NY 10452","New York","Bronx County","The Bronx",Highbridge,1383,"1383 Plimpton Ave #1c, Bronx, NY 10452, USA",40.8423705,-73.9234444
"Brokered by Laffey Real Estate","House for sale",839000,2,2205,"158-35 87th St","Howard Beach, NY 11414","158-35 87th St, Howard Beach, NY 11414","United States","New York","Queens County",Queens,"87th Street","158-35 87th St, Jamaica, NY 11414, USA",40.6590909,-73.8451972
"Brokered by CENTURY 21 PROFESSIONAL REALTY","House for sale",659000,3,2185,"148-05 111th Ave","Jamaica, NY 11435","148-05 111th Ave, Jamaica, NY 11435","United States","New York","Queens County",Queens,"111th Avenue","148-05 111th Ave, Jamaica, NY 11435, USA",40.688533,-73.796529
"Brokered by Anthony Napolitano Homes","House for sale",399999,1,2206,"178 Beach 24th St","Far Rockaway, NY 11691","178 Beach 24th St, Far Rockaway, NY 11691","United States","New York","Queens County",Queens,"Beach 24th Street","178 Beach 24th St, Far Rockaway, NY 11691, USA",40.5950021,-73.7577376
"Brokered by Homefinders of SI Inc.","Condo for sale",250000,1,2195,"3105 Avenue V Apt 1F","Brooklyn, NY 11229","3105 Avenue V Apt 1F, Brooklyn, NY 11229","New York","Kings County",Brooklyn,"Sheepshead Bay",3105,"3105 Ave V #1f, Brooklyn, NY 11229, USA",40.5997081,-73.9344974
"Built by Toll Brothers","For sale",1740000,2,1132,"The Rockwell # 6H","New York, NY 10025","The Rockwell # 6H, New York, NY 10025","United States","New York","New York County","New York","West 103rd Street","218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
"Brokered by Epiphany Realty Llc","House for sale",650000,2,2244,"115115 220th St","Cambria Heights, NY 11411","115115 220th St, Cambria Heights, NY 11411","United States","New York","Queens County",Queens,"220th Street","115- 115 220th St, Cambria Heights, NY 11411, USA",40.6968706,-73.7390395
"Brokered by Re/Max Edge","House for sale",1165000,4,3500,"67 Dexter Ave","Staten Island, NY 10309","67 Dexter Ave, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Dexter Avenue","67 Dexter Ave, Staten Island, NY 10309, USA",40.5397292,-74.2155251
"Brokered by Homes R Us Realty of NY, Inc.","House for sale",729900,2,1150,"447 Vernon Ave","Staten Island, NY 10309","447 Vernon Ave, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Vernon Avenue","447 Vernon Ave, Staten Island, NY 10309, USA",40.5302132,-74.1981906
"Brokered by Winzone Realty Inc","House for sale",1880000,4,3150,"3758 Bayview Ave","Brooklyn, NY 11224","3758 Bayview Ave, Brooklyn, NY 11224","United States","New York","Kings County",Brooklyn,"Bayview Avenue","3758 Bayview Ave, Brooklyn, NY 11224, USA",40.5805262,-74.0061062
"Brokered by Charles H. Greenthal Property","Co-op for sale",449000,2,1549,"26910 Grand Central Pkwy Apt 22L","Floral Park, NY 11005","26910 Grand Central Pkwy Apt 22L, Floral Park, NY 11005","New York","Queens County",Queens,"Glen Oaks",26910,"26910 Grand Central Pkwy #22l, Queens, NY 11005, USA",40.7577991,-73.7159564
"Brokered by Hauseit LLC","House for sale",995000,2,2207,"159-03 83rd St","Howard Beach, NY 11414","159-03 83rd St, Howard Beach, NY 11414","United States","New York","Queens County",Queens,"83rd Street","159-03 83rd St, Queens, NY 11414, USA",40.657686,-73.8489131
"Brokered by COMPASS","Condo for sale",2000000,2,2000,"200 Rector Pl Unit 27EF","Manhattan, NY 10280","200 Rector Pl Unit 27EF, Manhattan, NY 10280","New York County","New York",Manhattan,"Rector Place","Liberty Court","Liberty Court, 200 Rector Pl #27e, New York, NY 10280, USA",40.7086444,-74.0161953
"Brokered by Leven Real Estate - Head Office","Townhouse for sale",15000000,6,2185,"126 Pierrepont St","Brooklyn, NY 11201","126 Pierrepont St, Brooklyn, NY 11201","United States","New York","Kings County",Brooklyn,"Pierrepont Street","126 Pierrepont St, Brooklyn, NY 11201, USA",40.6948972,-73.9925741
"Brokered by Keller Williams Rlty Landmark","House for sale",2600000,4,3024,"214-42 27th Ave","Bayside, NY 11360","214-42 27th Ave, Bayside, NY 11360","United States","New York","Queens County",Queens,"27th Avenue","214-42 27th Ave, Flushing, NY 11360, USA",40.7780417,-73.7739629
"Brokered by Corcoran West Side","Townhouse for sale",3500000,6,6000,"51 Hamilton Ter","New York, NY 10031","51 Hamilton Ter, New York, NY 10031","United States","New York","New York County","New York","Hamilton Terrace","51 Hamilton Terrace, New York, NY 10031, USA",40.8229141,-73.9460622
"Brokered by Corcoran East Side","Co-op for sale",550000,1,2161,"609 Columbus Ave Apt 10I","New York, NY 10024","609 Columbus Ave Apt 10I, New York, NY 10024","New York","New York County","New York",Manhattan,609,"609 Columbus Ave #10j, New York, NY 10024, USA",40.7887084,-73.9700091
"Brokered by E House Realty & Mgt. Inc.",Pending,769000,4,2174,"290 Lake Ave","Staten Island, NY 10303","290 Lake Ave, Staten Island, NY 10303","United States","New York","Richmond County","Staten Island","Lake Avenue","290 Lake Ave, Staten Island, NY 10303, USA",40.6291962,-74.1518654
"Brokered by Gateway Arms Realty Corp.","House for sale",879000,2,1238,"48 Princewood Ave","Staten Island, NY 10309","48 Princewood Ave, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Princewood Avenue","48 Princewood Ave, Staten Island, NY 10309, USA",40.5273247,-74.1983282
"Brokered by KELLER WILLIAMS REALTY LANDMARK II","House for sale",918888,2,2171,"30-36 88th St","East Elmhurst, NY 11369","30-36 88th St, East Elmhurst, NY 11369","United States","New York","Queens County",Queens,"88th Street","30-36 88th St, Flushing, NY 11369, USA",40.760703,-73.880887
"Brokered by COMPASS","Townhouse for sale",2400000,2,1892,"396 A 9th St Unit 2","Brooklyn, NY 11215","396 A 9th St Unit 2, Brooklyn, NY 11215","United States","New York","Kings County",Brooklyn,"9th Street","396A 9th St, Brooklyn, NY 11215, USA",40.6674938,-73.9832146
"Brokered by East Coast REALTORS Inc","House for sale",2500000,2.5,1450,"33-02 Parsons Blvd","Flushing, NY 11354","33-02 Parsons Blvd, Flushing, NY 11354","United States","New York","Queens County",Queens,"Parsons Boulevard","33-02 Parsons Blvd, Flushing, NY 11354, USA",40.7679673,-73.8246067
"Brokered by RE MAX Elite","House for sale",998000,4,2000,"336 Bethel Ave","Staten Island, NY 10307","336 Bethel Ave, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Bethel Avenue","336 Bethel Ave, Staten Island, NY 10307, USA",40.515251,-74.235145
"Brokered by RE MAX Real Estate Professionals","House for sale",1649000,2,2052,"1217 84th St","Brooklyn, NY 11228","1217 84th St, Brooklyn, NY 11228","United States","New York","Kings County",Brooklyn,"84th Street","1217 84th St, Brooklyn, NY 11228, USA",40.6164182,-74.0142443
"Brokered by Homes R Us Realty of NY, Inc.","House for sale",955000,4,2100,"82 Vineland Ave","Staten Island, NY 10312","82 Vineland Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Vineland Avenue","82 Vineland Ave, Staten Island, NY 10312, USA",40.551184,-74.1840649
"Brokered by LJ Realty Team Inc","Multi-family home for sale",949000,3,2171,"117-37 141st St","Jamaica, NY 11436","117-37 141st St, Jamaica, NY 11436","United States","New York","Queens County",Queens,"141st Street","11737 141st St, Jamaica, NY 11436, USA",40.677393,-73.800094
"Brokered by Keller Williams Rlty Landmark","House for sale",880000,2,1743,"190-16 33rd Ave","Flushing, NY 11358","190-16 33rd Ave, Flushing, NY 11358","United States","New York","Queens County",Queens,"33rd Avenue","190-16 33rd Ave, Flushing, NY 11358, USA",40.7668312,-73.7911175
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Townhouse for sale",1250000,2.5,2173,"246 E 58th St # Th","New York, NY 10022","246 E 58th St # Th, New York, NY 10022","United States","New York","New York County","New York","East 58th Street","246 E 58th St, New York, NY 10022, USA",40.7600248,-73.9653546
"Brokered by Tom Crimmins Realty, Ltd.",Contingent,899999,2,1784,"61 Prescott Ave","Staten Island, NY 10306","61 Prescott Ave, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Prescott Avenue","61 Prescott Ave, Staten Island, NY 10306, USA",40.5788586,-74.11209
"Brokered by J Milo Real Estate","Condo for sale",198000,1,750,"118-18 Union Tpke Unit 7D","Queens, NY 11415","118-18 Union Tpke Unit 7D, Queens, NY 11415","New York","Queens County",Queens,"Kew Gardens",11818,"11818 Union Tpke Apt 7l, Kew Gardens, NY 11415, USA",40.7127599,-73.83433
"Brokered by Howard Hanna | Rand Realty","House for sale",549000,3,496,"2808 Wickham Ave","Bronx, NY 10469","2808 Wickham Ave, Bronx, NY 10469","United States","New York","Bronx County","The Bronx","Wickham Avenue","2808 Wickham Ave, Bronx, NY 10469, USA",40.8679701,-73.836565
"Brokered by RE MAX Elite","House for sale",1088888,4,1320,"1568 W 2nd St","Brooklyn, NY 11204","1568 W 2nd St, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"West 2nd Street","1568 W 2nd St, Brooklyn, NY 11204, USA",40.6090909,-73.9762651
"Brokered by CAROZZA NICHOLAS M","House for sale",888000,2,2686,"3079 Giegerich Pl","Bronx, NY 10465","3079 Giegerich Pl, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Giegerich Place","3079 Giegerich Pl, Bronx, NY 10465, USA",40.8130775,-73.8063357
"Brokered by All American Realty Management","For sale",65000,1,230,"1287266 45 Madison St Unit 1","Manhattan, NY 10038","1287266 45 Madison St Unit 1, Manhattan, NY 10038","New York","New York County","New York",Manhattan,45,"45 Madison St #1, New York, NY 10038, USA",40.7120703,-73.9983258
"Brokered by Flateau Realty Corp","Coming Soon",1695000,2,2250,"871 Putnam Ave","Ny, NY 11221","871 Putnam Ave, Ny, NY 11221","United States","New York","Kings County",Brooklyn,"Putnam Avenue","871 Putnam Ave, Brooklyn, NY 11221, USA",40.686947,-73.9261885
"Brokered by Sotheby's International Realty - Downtown Manhattan","Townhouse for sale",1970000,4,2508,"59 Duffield St","Brooklyn, NY 11201","59 Duffield St, Brooklyn, NY 11201","United States","New York","Kings County",Brooklyn,"Duffield Street","59 Duffield St, Brooklyn, NY 11201, USA",40.6965326,-73.9839654
"Brokered by COMPASS","Co-op for sale",1895000,2,2193,"905 Union St Apt 1","Brooklyn, NY 11215","905 Union St Apt 1, Brooklyn, NY 11215","New York","Kings County",Brooklyn,"Park Slope",905,"905 Union St Apartment 1, Brooklyn, NY 11215, USA",40.673976,-73.973535
"Brokered by DiTommaso Real Estate","House for sale",689000,2.5,1248,"46 Kirshon Ave","Staten Island, NY 10314","46 Kirshon Ave, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Kirshon Avenue","46 Kirshon Ave, Staten Island, NY 10314, USA",40.6137764,-74.1600305
"Brokered by Martino Realty Group","House for sale",649999,2,1440,"219 Slater Blvd","Staten Island, NY 10305","219 Slater Blvd, Staten Island, NY 10305","United States","New York","Richmond County","Staten Island","Slater Boulevard","219 Slater Blvd, Staten Island, NY 10305, USA",40.5803331,-74.0885167
"Brokered by EXP Realty","House for sale",669000,2,864,"74 Holly St","Staten Island, NY 10304","74 Holly St, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Holly Street","74 Holly St, Staten Island, NY 10304, USA",40.5993523,-74.0953882
"Brokered by Corcoran Westside Columbus","House for sale",800000,2,825,"1485 E 53rd St","Brooklyn, NY 11234","1485 E 53rd St, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"East 53rd Street","1485 E 53rd St, Brooklyn, NY 11234, USA",40.6222734,-73.924094
"Brokered by COMPASS","Co-op for sale",2375000,2,2166,"10 Bleecker St Apt 5D","Manhattan, NY 10012","10 Bleecker St Apt 5D, Manhattan, NY 10012","New York","New York County","New York",Manhattan,10,"10 Bleecker St #5b, New York, NY 10012, USA",40.7252187,-73.9929764
"Brokered by Corcoran West Side Gallery","For sale",2400000,6,6688,"726 Nostrand Ave","Brooklyn, NY 11216","726 Nostrand Ave, Brooklyn, NY 11216","United States","New York","Kings County",Brooklyn,"Nostrand Avenue","726 Nostrand Ave., Brooklyn, NY 11216, USA",40.6738566,-73.9506085
"Brokered by eXp Realty BKNY","House for sale",390000,1,586,"231 Freeborn St","Staten Island, NY 10306","231 Freeborn St, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Freeborn Street","231 Freeborn St, Staten Island, NY 10306, USA",40.574103,-74.0931668
